Date,Price
28-06-2024,24010.6
27-06-2024,24044.5
26-06-2024,23868.8
25-06-2024,23721.3
24-06-2024,23537.85
21-06-2024,23501.1
20-06-2024,23567
19-06-2024,23516
18-06-2024,23557.9
14-06-2024,23465.6
13-06-2024,23398.9
12-06-2024,23322.95
11-06-2024,23264.85
10-06-2024,23259.2
07-06-2024,23290.15
06-06-2024,22821.4
05-06-2024,22620.35
04-06-2024,21884.5
03-06-2024,23263.9
31-05-2024,22530.7
30-05-2024,22488.65
29-05-2024,22704.7
28-05-2024,22888.15
27-05-2024,22932.45
24-05-2024,22957.1
23-05-2024,22967.65
22-05-2024,22597.8
21-05-2024,22529.05
18-05-2024,22502
17-05-2024,22466.1
16-05-2024,22403.85
15-05-2024,22200.55
14-05-2024,22217.85
13-05-2024,22104.05
10-05-2024,22055.2
09-05-2024,21957.5
08-05-2024,22302.5
07-05-2024,22302.5
06-05-2024,22442.7
03-05-2024,22475.85
02-05-2024,22648.2
30-04-2024,22604.85
29-04-2024,22643.4
26-04-2024,22419.95
25-04-2024,22570.35
24-04-2024,22402.4
23-04-2024,22368
22-04-2024,22336.4
19-04-2024,22147
18-04-2024,21995.85
16-04-2024,22147.9
15-04-2024,22272.5
12-04-2024,22519.4
10-04-2024,22753.8
09-04-2024,22642.75
08-04-2024,22666.3
05-04-2024,22513.7
04-04-2024,22514.65
03-04-2024,22434.65
02-04-2024,22453.3
01-04-2024,22462
28-03-2024,22326.9
27-03-2024,22123.65
26-03-2024,22004.7
22-03-2024,22096.75
21-03-2024,22011.95
20-03-2024,21839.1
19-03-2024,21817.45
18-03-2024,22055.7
15-03-2024,22023.35
14-03-2024,22146.65
13-03-2024,21997.7
12-03-2024,22335.7
11-03-2024,22332.65
07-03-2024,22493.55
06-03-2024,22474.05
05-03-2024,22356.3
04-03-2024,22405.6
02-03-2024,22378.4
01-03-2024,22338.75
29-02-2024,21982.8
28-02-2024,21951.15
27-02-2024,22198.35
26-02-2024,22122.05
23-02-2024,22212.7
22-02-2024,22217.45
21-02-2024,22055.05
20-02-2024,22196.95
19-02-2024,22122.25
16-02-2024,22040.7
