Date,INR
28-06-2024,194315.71
27-06-2024,193902.1
26-06-2024,192043.77
25-06-2024,193851.04
24-06-2024,194207.04
21-06-2024,195035.05
20-06-2024,196617.28
19-06-2024,193766.91
18-06-2024,193746.89
17-06-2024,193704.69
14-06-2024,194585.58
13-06-2024,193057.87
12-06-2024,194117.42
11-06-2024,193578.32
10-06-2024,192491.14
07-06-2024,192839.03
06-06-2024,197068.79
05-06-2024,195019.77
04-06-2024,194446.16
03-06-2024,194342.59
31-05-2024,195955.36
30-05-2024,195521.01
29-05-2024,195358.06
28-05-2024,195551.04
27-05-2024,194595.91
24-05-2024,194595.91
23-05-2024,196178.67
22-05-2024,200440.58
21-05-2024,202072.73
20-05-2024,201591.87
17-05-2024,200117.6
16-05-2024,198346.48
15-05-2024,196568.35
14-05-2024,196660.59
13-05-2024,195723.71
10-05-2024,198217.96
09-05-2024,194102.92
08-05-2024,192731.79
07-05-2024,193600.31
06-05-2024,191368.6
03-05-2024,191368.6
02-05-2024,190943.65
01-05-2024,192062.04
30-04-2024,192558.14
29-04-2024,194678.74
26-04-2024,195395.8
25-04-2024,192915.84
24-04-2024,193354.79
23-04-2024,193911.69
22-04-2024,194696.3
19-04-2024,198445.09
18-04-2024,199050.76
17-04-2024,200032.38
16-04-2024,198219.91
15-04-2024,195750.08
12-04-2024,200645.33
11-04-2024,195562.24
10-04-2024,194486.11
09-04-2024,196174.54
08-04-2024,193091.21
05-04-2024,191520.01
04-04-2024,191202.21
03-04-2024,190384.77
02-04-2024,188749.02
01-04-2024,184605.05
29-03-2024,184605.05
28-03-2024,184605.05
27-03-2024,182695.76
26-03-2024,181636.19
25-03-2024,181880.7
22-03-2024,181454.55
21-03-2024,180594.28
20-03-2024,179525.95
19-03-2024,178932.12
18-03-2024,178974.08
15-03-2024,179241.83
14-03-2024,179130.32
13-03-2024,179642.83
12-03-2024,178951.93
11-03-2024,180345.02
08-03-2024,179571.05
07-03-2024,178111.2
06-03-2024,177438.69
05-03-2024,176917.21
04-03-2024,173865.4
01-03-2024,169832.08
29-02-2024,169773.92
28-02-2024,168496.41
27-02-2024,168644.59
26-02-2024,167933.25
23-02-2024,167953.96
22-02-2024,167647.92
21-02-2024,167997.31
20-02-2024,168179.92
19-02-2024,167354.64
16-02-2024,165765.76
15-02-2024,166276.03
14-02-2024,164723.6
13-02-2024,165868.32
12-02-2024,167180.99
09-02-2024,167874.62
08-02-2024,168276.52
07-02-2024,169350.72
06-02-2024,168669.72
05-02-2024,167586.83
02-02-2024,168863.74
01-02-2024,169722.08
31-01-2024,170419.75
30-01-2024,169736.59
29-01-2024,168164.4
26-01-2024,167762.06
25-01-2024,168198.92
24-01-2024,168310.98
23-01-2024,168147.6
22-01-2024,167989.91
19-01-2024,168567.43
18-01-2024,167440.26
17-01-2024,167314.83
16-01-2024,169288.74
15-01-2024,169780.92
12-01-2024,170304.64
11-01-2024,168520.91
10-01-2024,168301.22
09-01-2024,169132.75
08-01-2024,168150.94
05-01-2024,170942.11
04-01-2024,169690.56
03-01-2024,170088.55
02-01-2024,172061.51
01-01-2024,172873.21
29-12-2023,172873.21
28-12-2023,172873.21
27-12-2023,172320.59
26-12-2023,169918.44
25-12-2023,169918.44
22-12-2023,169918.44
21-12-2023,169918.44
20-12-2023,169215.27
19-12-2023,169601.69
18-12-2023,168149.77
15-12-2023,168721.55
14-12-2023,170411.69
13-12-2023,165243.36
12-12-2023,165103.85
11-12-2023,165643.9
08-12-2023,167575.95
07-12-2023,168928.74
06-12-2023,168867.61
05-12-2023,168634.08
04-12-2023,170788.32
01-12-2023,170309
30-11-2023,169745.34
29-11-2023,170587.7
28-11-2023,168843.19
27-11-2023,167721.07
24-11-2023,166650.8
23-11-2023,165964.55
22-11-2023,166418.29
21-11-2023,167107.64
20-11-2023,164097.44
17-11-2023,164940.64
16-11-2023,164771.45
15-11-2023,162861.54
14-11-2023,163879.9
13-11-2023,160738.69
10-11-2023,161726.63
09-11-2023,163031.51
08-11-2023,163061.81
07-11-2023,163196.9
06-11-2023,165146.5
03-11-2023,165718.85
02-11-2023,165161.68
01-11-2023,165417.07
31-10-2023,166303.03
30-10-2023,166153.38
27-10-2023,165195.4
26-10-2023,164440.48
25-10-2023,164902.87
24-10-2023,163084.86
23-10-2023,163890.2
20-10-2023,165371.61
19-10-2023,162242.33
18-10-2023,162874.22
17-10-2023,160455.16
16-10-2023,159580.61
13-10-2023,158902.72
12-10-2023,156011.44
11-10-2023,155585.27
10-10-2023,154497.39
09-10-2023,153777.58
06-10-2023,151268.44
05-10-2023,151431
04-10-2023,151375.75
03-10-2023,151684.52
02-10-2023,152333.6
29-09-2023,155445.84
28-09-2023,155765.07
27-09-2023,157099.98
26-09-2023,158862.03
25-09-2023,159993.53
22-09-2023,159917.63
21-09-2023,159200.27
20-09-2023,161064.85
19-09-2023,160998.39
18-09-2023,160175.62
15-09-2023,160249.32
14-09-2023,157930.64
13-09-2023,158654.02
12-09-2023,158162.49
11-09-2023,159482.11
08-09-2023,160009.33
07-09-2023,159532.67
06-09-2023,159996.25
05-09-2023,159967.42
04-09-2023,160260.88
01-09-2023,160452.24
31-08-2023,160619.28
30-08-2023,160892.17
29-08-2023,159427.46
28-08-2023,158177.2
25-08-2023,158177.2
24-08-2023,158336.83
23-08-2023,158230
22-08-2023,157196.67
21-08-2023,156933.14
18-08-2023,157404.34
17-08-2023,157643.77
16-08-2023,158388.69
15-08-2023,158359.58
14-08-2023,158296.81
11-08-2023,158836.68
10-08-2023,158868.03
09-08-2023,159313.1
08-08-2023,159677.37
07-08-2023,159902.46
04-08-2023,160549.32
03-08-2023,160175.04
02-08-2023,160765.9
01-08-2023,160323.69
31-07-2023,162095.03
28-07-2023,160665.73
27-07-2023,159870.81
26-07-2023,161274.94
25-07-2023,160391.09
24-07-2023,160326.04
21-07-2023,160788.81
20-07-2023,162159.36
19-07-2023,162141.67
18-07-2023,162067.12
17-07-2023,159940.31
14-07-2023,160391.54
13-07-2023,160602.2
12-07-2023,160194.04
11-07-2023,159349.16
10-07-2023,158714.64
07-07-2023,158806.39
06-07-2023,157973.05
05-07-2023,158493.77
04-07-2023,158081.48
03-07-2023,158024.22
30-06-2023,156895.33
29-06-2023,155845.27
28-06-2023,156561.51
27-06-2023,157215.48
26-06-2023,157675.88
23-06-2023,158292.11
22-06-2023,157321.22
21-06-2023,157848.42
20-06-2023,158293.04
19-06-2023,159843.09
16-06-2023,160538.8
15-06-2023,159950.18
14-06-2023,160180.02
13-06-2023,160762.69
12-06-2023,160983.41
09-06-2023,161489.51
